('OGeneral', 'Window', 'Inverter AC', '1 ton', 21000, 'AGL48P')
('OGeneral', 'Centralised', 'Non Inverter AC', '2 ton', 63000, 'AIM52R')
('OGeneral', 'Centralised', 'Non Inverter AC', '3 ton', 28500, 'AIM48S')
('OGeneral', 'Centralised', 'Non Inverter AC', '3 ton', 34500, 'AIM49S')
('OGeneral', 'Centralised', 'Non Inverter AC', '3 ton', 47000, 'AIM50S')
('OGeneral', 'Centralised', 'Non Inverter AC', '3 ton', 54500, 'AIM51S')
('OGeneral', 'Centralised', 'Non Inverter AC', '3 ton', 63000, 'AIM52S')
('Hitachi', 'Window', 'Inverter AC', '1 ton', 23000, 'BGL48P')
('Hitachi', 'Window', 'Inverter AC', '1 ton', 32000, 'BGL49P')
('Hitachi', 'Window', 'Inverter AC', '1 ton', 40500, 'BGL50P')
('Hitachi', 'Window', 'Inverter AC', '1 ton', 51500, 'BGL51P')
('Hitachi', 'Window', 'Inverter AC', '1 ton', 61000, 'BGL52P')
('Hitachi', 'Window', 'Inverter AC', '1.5 ton', 24500, 'BGL48Q')
('Hitachi', 'Window', 'Inverter AC', '1.5 ton', 34000, 'BGL49Q')
('Hitachi', 'Window', 'Inverter AC', '1.5 ton', 41000, 'BGL50Q')
('Hitachi', 'Window', 'Inverter AC', '1.5 ton', 51000, 'BGL51Q')
('Hitachi', 'Window', 'Inverter AC', '1.5 ton', 60000, 'BGL52Q')
('Hitachi', 'Window', 'Inverter AC', '2 ton', 25000, 'BGL48R')
('Hitachi', 'Window', 'Inverter AC', '2 ton', 31500, 'BGL49R')
('Hitachi', 'Window', 'Inverter AC', '2 ton', 42000, 'BGL50R')
('Hitachi', 'Window', 'Inverter AC', '2 ton', 53500, 'BGL51R')
('Hitachi', 'Window', 'Inverter AC', '2 ton', 64000, 'BGL52R')
('Hitachi', 'Window', 'Inverter AC', '3 ton', 27000, 'BGL48S')
('Hitachi', 'Window', 'Inverter AC', '3 ton', 36500, 'BGL49S')
('Hitachi', 'Window', 'Inverter AC', '3 ton', 43000, 'BGL50S')
('Hitachi', 'Window', 'Inverter AC', '3 ton', 50000, 'BGL51S')
('Hitachi', 'Window', 'Inverter AC', '3 ton', 60500, 'BGL52S')
('Hitachi', 'Window', 'Non Inverter AC', '1 ton', 22000, 'BGM48P')
('Hitachi', 'Window', 'Non Inverter AC', '1 ton', 30000, 'BGM49P')
('Hitachi', 'Window', 'Non Inverter AC', '1 ton', 42500, 'BGM50P')
('Hitachi', 'Window', 'Non Inverter AC', '1 ton', 53000, 'BGM51P')
('Hitachi', 'Window', 'Non Inverter AC', '1 ton', 67000, 'BGM52P')
('Hitachi', 'Window', 'Non Inverter AC', '1.5 ton', 25500, 'BGM48Q')
('Hitachi', 'Window', 'Non Inverter AC', '1.5 ton', 34000, 'BGM49Q')
('Hitachi', 'Window', 'Non Inverter AC', '1.5 ton', 42000, 'BGM50Q')
('Hitachi', 'Window', 'Non Inverter AC', '1.5 ton', 56000, 'BGM51Q')
('Hitachi', 'Window', 'Non Inverter AC', '1.5 ton', 65000, 'BGM52Q')
('Hitachi', 'Window', 'Non Inverter AC', '2 ton', 27000, 'BGM48R')
('Hitachi', 'Window', 'Non Inverter AC', '2 ton', 36000, 'BGM49R')
('Hitachi', 'Window', 'Non Inverter AC', '2 ton', 45500, 'BGM50R')
('Hitachi', 'Window', 'Non Inverter AC', '2 ton', 54500, 'BGM51R')
('Hitachi', 'Window', 'Non Inverter AC', '2 ton', 66500, 'BGM52R')
('Hitachi', 'Window', 'Non Inverter AC', '3 ton', 28500, 'BGM48S')
('Hitachi', 'Window', 'Non Inverter AC', '3 ton', 38000, 'BGM49S')
('Hitachi', 'Window', 'Non Inverter AC', '3 ton', 46000, 'BGM50S')
('Hitachi', 'Window', 'Non Inverter AC', '3 ton', 56500, 'BGM51S')
('Hitachi', 'Window', 'Non Inverter AC', '3 ton', 62000, 'BGM52S')
('Hitachi', 'Split', 'Inverter AC', '1 ton', 25000, 'BHL48P')
('Hitachi', 'Split', 'Inverter AC', '1 ton', 34500, 'BHL49P')
('Hitachi', 'Split', 'Inverter AC', '1 ton', 46000, 'BHL50P')
('Hitachi', 'Split', 'Inverter AC', '1 ton', 57500, 'BHL51P')
('Hitachi', 'Split', 'Inverter AC', '1 ton', 68000, 'BHL52P')
('Hitachi', 'Split', 'Inverter AC', '1.5 ton', 26500, 'BHL48Q')
('Hitachi', 'Split', 'Inverter AC', '1.5 ton', 37000, 'BHL49Q')
('Hitachi', 'Split', 'Inverter AC', '1.5 ton', 42000, 'BHL50Q')
('Hitachi', 'Split', 'Inverter AC', '1.5 ton', 54000, 'BHL51Q')
('Hitachi', 'Split', 'Inverter AC', '1.5 ton', 67500, 'BHL52Q')
('Hitachi', 'Split', 'Inverter AC', '2 ton', 29000, 'BHL48R')
('Hitachi', 'Split', 'Inverter AC', '2 ton', 38000, 'BHL49R')
('Hitachi', 'Split', 'Inverter AC', '2 ton', 47500, 'BHL50R')
('Hitachi', 'Split', 'Inverter AC', '2 ton', 56000, 'BHL51R')
('Hitachi', 'Split', 'Inverter AC', '2 ton', 69500, 'BHL52R')
('Hitachi', 'Split', 'Inverter AC', '3 ton', 30000, 'BHL48S')
('Hitachi', 'Split', 'Inverter AC', '3 ton', 39000, 'BHL49S')
('Hitachi', 'Split', 'Inverter AC', '3 ton', 48500, 'BHL50S')
('Hitachi', 'Split', 'Inverter AC', '3 ton', 57000, 'BHL51S')
('Hitachi', 'Split', 'Inverter AC', '3 ton', 70000, 'BHL52S')
('Hitachi', 'Split', 'Non Inverter AC', '1 ton', 21000, 'BHM48P')
('Hitachi', 'Split', 'Non Inverter AC', '1 ton', 31500, 'BHM49P')
('Hitachi', 'Split', 'Non Inverter AC', '1 ton', 43000, 'BHM50P')
('Hitachi', 'Split', 'Non Inverter AC', '1 ton', 50000, 'BHM51P')
('Hitachi', 'Split', 'Non Inverter AC', '1 ton', 61500, 'BHM52P')
('Hitachi', 'Split', 'Non Inverter AC', '1.5 ton', 22500, 'BHM48Q')
('Hitachi', 'Split', 'Non Inverter AC', '1.5 ton', 34000, 'BHM49Q')
('Hitachi', 'Split', 'Non Inverter AC', '1.5 ton', 44500, 'BHM50Q')
('Hitachi', 'Split', 'Non Inverter AC', '1.5 ton', 52000, 'BHM51Q')
('Hitachi', 'Split', 'Non Inverter AC', '1.5 ton', 63000, 'BHM52Q')
('Hitachi', 'Split', 'Non Inverter AC', '2 ton', 23000, 'BHM48R')
('Hitachi', 'Split', 'Non Inverter AC', '2 ton', 34500, 'BHM49R')
('Hitachi', 'Split', 'Non Inverter AC', '2 ton', 45000, 'BHM50R')
('Hitachi', 'Split', 'Non Inverter AC', '2 ton', 51000, 'BHM51R')
('Hitachi', 'Split', 'Non Inverter AC', '2 ton', 60000, 'BHM52R')
('Hitachi', 'Split', 'Non Inverter AC', '3 ton', 25000, 'BHM48S')
('Hitachi', 'Split', 'Non Inverter AC', '3 ton', 35500, 'BHM49S')
('Hitachi', 'Split', 'Non Inverter AC', '3 ton', 47000, 'BHM50S')
('Hitachi', 'Split', 'Non Inverter AC', '3 ton', 56000, 'BHM51S')
('Hitachi', 'Split', 'Non Inverter AC', '3 ton', 64500, 'BHM52S')
('Hitachi', 'Centralised', 'Inverter AC', '1 ton', 26000, 'BIL48P')
('Hitachi', 'Centralised', 'Inverter AC', '1 ton', 36000, 'BIL49P')
('Hitachi', 'Centralised', 'Inverter AC', '1 ton', 40000, 'BIL50P')
('Hitachi', 'Centralised', 'Inverter AC', '1 ton', 51000, 'BIL51P')
('Hitachi', 'Centralised', 'Inverter AC', '1 ton', 61500, 'BIL52P')
('Hitachi', 'Centralised', 'Inverter AC', '1.5 ton', 23000, 'BIL48Q')
('Hitachi', 'Centralised', 'Inverter AC', '1.5 ton', 35000, 'BIL49Q')
('Hitachi', 'Centralised', 'Inverter AC', '1.5 ton', 42500, 'BIL50Q')
('Hitachi', 'Centralised', 'Inverter AC', '1.5 ton', 53000, 'BIL51Q')
('Hitachi', 'Centralised', 'Inverter AC', '1.5 ton', 63000, 'BIL52Q')
('Hitachi', 'Centralised', 'Inverter AC', '2 ton', 27000, 'BIL48R')
('Hitachi', 'Centralised', 'Inverter AC', '2 ton', 36500, 'BIL49R')
('Hitachi', 'Centralised', 'Inverter AC', '2 ton', 43000, 'BIL50R')
('Hitachi', 'Centralised', 'Inverter AC', '2 ton', 54000, 'BIL51R')
('Hitachi', 'Centralised', 'Inverter AC', '2 ton', 65000, 'BIL52R')
('Hitachi', 'Centralised', 'Inverter AC', '3 ton', 29000, 'BIL48S')
('Hitachi', 'Centralised', 'Inverter AC', '3 ton', 37500, 'BIL49S')
('Hitachi', 'Centralised', 'Inverter AC', '3 ton', 45000, 'BIL50S')
('Hitachi', 'Centralised', 'Inverter AC', '3 ton', 53000, 'BIL51S')
('Hitachi', 'Centralised', 'Inverter AC', '3 ton', 60000, 'BIL52S')
('Hitachi', 'Centralised', 'Non Inverter AC', '1 ton', 22000, 'BIM48P')
('Hitachi', 'Centralised', 'Non Inverter AC', '1 ton', 35000, 'BIM49P')
('Hitachi', 'Centralised', 'Non Inverter AC', '1 ton', 42000, 'BIM50P')
('Hitachi', 'Centralised', 'Non Inverter AC', '1 ton', 50000, 'BIM51P')
('Hitachi', 'Centralised', 'Non Inverter AC', '1 ton', 61500, 'BIM52P')
('Hitachi', 'Centralised', 'Non Inverter AC', '1.5 ton', 22500, 'BIM48Q')
('Hitachi', 'Centralised', 'Non Inverter AC', '1.5 ton', 31000, 'BIM49Q')
('Hitachi', 'Centralised', 'Non Inverter AC', '1.5 ton', 40500, 'BIM50Q')
('Hitachi', 'Centralised', 'Non Inverter AC', '1.5 ton', 52000, 'BIM51Q')
('Hitachi', 'Centralised', 'Non Inverter AC', '1.5 ton', 61000, 'BIM52Q')
('Hitachi', 'Centralised', 'Non Inverter AC', '2 ton', 26000, 'BIM48R')
('Hitachi', 'Centralised', 'Non Inverter AC', '2 ton', 35500, 'BIM49R')
('Hitachi', 'Centralised', 'Non Inverter AC', '2 ton', 44000, 'BIM50R')
('Hitachi', 'Centralised', 'Non Inverter AC', '2 ton', 53000, 'BIM51R')
('Hitachi', 'Centralised', 'Non Inverter AC', '2 ton', 64000, 'BIM52R')
('Hitachi', 'Centralised', 'Non Inverter AC', '3 ton', 28500, 'BIM48S')
('Hitachi', 'Centralised', 'Non Inverter AC', '3 ton', 39000, 'BIM49S')
('Hitachi', 'Centralised', 'Non Inverter AC', '3 ton', 47500, 'BIM50S')
('Hitachi', 'Centralised', 'Non Inverter AC', '3 ton', 56000, 'BIM51S')
('Hitachi', 'Centralised', 'Non Inverter AC', '3 ton', 63000, 'BIM52S')
('Daikin', 'Window', 'Inverter AC', '1 ton', 20500, 'CGL48P')
('Daikin', 'Window', 'Inverter AC', '1 ton', 30000, 'CGL49P')
('Daikin', 'Window', 'Inverter AC', '1 ton', 41000, 'CGL50P')
('Daikin', 'Window', 'Inverter AC', '1 ton', 52500, 'CGL51P')
('Daikin', 'Window', 'Inverter AC', '1 ton', 60000, 'CGL52P')
('Daikin', 'Window', 'Inverter AC', '1.5 ton', 22000, 'CGL48Q')
('Daikin', 'Window', 'Inverter AC', '1.5 ton', 34500, 'CGL49Q')
('Daikin', 'Window', 'Inverter AC', '1.5 ton', 45000, 'CGL50Q')
('Daikin', 'Window', 'Inverter AC', '1.5 ton', 53000, 'CGL51Q')
('Daikin', 'Window', 'Inverter AC', '1.5 ton', 62500, 'CGL52Q')
('Daikin', 'Window', 'Inverter AC', '2 ton', 24000, 'CGL48R')
('Daikin', 'Window', 'Inverter AC', '2 ton', 31000, 'CGL49R')
('Daikin', 'Window', 'Inverter AC', '2 ton', 42500, 'CGL50R')
('Daikin', 'Window', 'Inverter AC', '2 ton', 50000, 'CGL51R')
('Daikin', 'Window', 'Inverter AC', '2 ton', 60500, 'CGL52R')
('Daikin', 'Window', 'Inverter AC', '3 ton', 26500, 'CGL48S')
('Daikin', 'Window', 'Inverter AC', '3 ton', 37000, 'CGL49S')
('Daikin', 'Window', 'Inverter AC', '3 ton', 46000, 'CGL50S')
('Daikin', 'Window', 'Inverter AC', '3 ton', 57000, 'CGL51S')
('Daikin', 'Window', 'Inverter AC', '3 ton', 65500, 'CGL52S')
('Daikin', 'Window', 'Non Inverter AC', '1 ton', 23000, 'CGM48P')
('Daikin', 'Window', 'Non Inverter AC', '1 ton', 35000, 'CGM49P')
('Daikin', 'Window', 'Non Inverter AC', '1 ton', 42000, 'CGM50P')
('Daikin', 'Window', 'Non Inverter AC', '1 ton', 51500, 'CGM51P')
('Daikin', 'Window', 'Non Inverter AC', '1 ton', 61000, 'CGM52P')
('Daikin', 'Window', 'Non Inverter AC', '1.5 ton', 27000, 'CGM48Q')
('Daikin', 'Window', 'Non Inverter AC', '1.5 ton', 37500, 'CGM49Q')
('Daikin', 'Window', 'Non Inverter AC', '1.5 ton', 46000, 'CGM50Q')
('Daikin', 'Window', 'Non Inverter AC', '1.5 ton', 54000, 'CGM51Q')
('Daikin', 'Window', 'Non Inverter AC', '1.5 ton', 62000, 'CGM52Q')
('Daikin', 'Window', 'Non Inverter AC', '2 ton', 28000, 'CGM48R')
('Daikin', 'Window', 'Non Inverter AC', '2 ton', 38500, 'CGM49R')
('Daikin', 'Window', 'Non Inverter AC', '2 ton', 48000, 'CGM50R')
('Daikin', 'Window', 'Non Inverter AC', '2 ton', 57000, 'CGM51R')
('Daikin', 'Window', 'Non Inverter AC', '2 ton', 68000, 'CGM52R')
('Daikin', 'Window', 'Non Inverter AC', '3 ton', 29500, 'CGM48S')
('Daikin', 'Window', 'Non Inverter AC', '3 ton', 37000, 'CGM49S')
('Daikin', 'Window', 'Non Inverter AC', '3 ton', 46000, 'CGM50S')
('Daikin', 'Window', 'Non Inverter AC', '3 ton', 53000, 'CGM51S')
('Daikin', 'Window', 'Non Inverter AC', '3 ton', 60000, 'CGM52S')
('Daikin', 'Split', 'Inverter AC', '1 ton', 23000, 'CHL48P')
('Daikin', 'Split', 'Inverter AC', '1 ton', 34000, 'CHL49P')
('Daikin', 'Split', 'Inverter AC', '1 ton', 44000, 'CHL50P')
('Daikin', 'Split', 'Inverter AC', '1 ton', 53000, 'CHL51P')
('Daikin', 'Split', 'Inverter AC', '1 ton', 61000, 'CHL52P')
('Daikin', 'Split', 'Inverter AC', '1.5 ton', 25000, 'CHL48Q')
('Daikin', 'Split', 'Inverter AC', '1.5 ton', 36000, 'CHL49Q')
('Daikin', 'Split', 'Inverter AC', '1.5 ton', 45000, 'CHL50Q')
('Daikin', 'Split', 'Inverter AC', '1.5 ton', 55000, 'CHL51Q')
('Daikin', 'Split', 'Inverter AC', '1.5 ton', 64000, 'CHL52Q')
('Daikin', 'Split', 'Inverter AC', '2 ton', 27000, 'CHL48R')
('Daikin', 'Split', 'Inverter AC', '2 ton', 37500, 'CHL49R')
('Daikin', 'Split', 'Inverter AC', '2 ton', 46500, 'CHL50R')
('Daikin', 'Split', 'Inverter AC', '2 ton', 56500, 'CHL51R')
('Daikin', 'Split', 'Inverter AC', '2 ton', 66500, 'CHL52R')
('Daikin', 'Split', 'Inverter AC', '3 ton', 29500, 'CHL48S')
('Daikin', 'Split', 'Inverter AC', '3 ton', 39000, 'CHL49S')
('Daikin', 'Split', 'Inverter AC', '3 ton', 48500, 'CHL50S')
('Daikin', 'Split', 'Inverter AC', '3 ton', 58000, 'CHL51S')
('Daikin', 'Split', 'Inverter AC', '3 ton', 68500, 'CHL52S')
('Daikin', 'Split', 'Non Inverter AC', '1 ton', 20000, 'CHM48P')
('Daikin', 'Split', 'Non Inverter AC', '1 ton', 32000, 'CHM49P')
('Daikin', 'Split', 'Non Inverter AC', '1 ton', 41000, 'CHM50P')
('Daikin', 'Split', 'Non Inverter AC', '1 ton', 51500, 'CHM51P')
('Daikin', 'Split', 'Non Inverter AC', '1 ton', 60500, 'CHM52P')
('Daikin', 'Split', 'Non Inverter AC', '1.5 ton', 22500, 'CHM48Q')
('Daikin', 'Split', 'Non Inverter AC', '1.5 ton', 33500, 'CHM49Q')
('Daikin', 'Split', 'Non Inverter AC', '1.5 ton', 43000, 'CHM50Q')
('Daikin', 'Split', 'Non Inverter AC', '1.5 ton', 53500, 'CHM51Q')
('Daikin', 'Split', 'Non Inverter AC', '1.5 ton', 62000, 'CHM52Q')
('Daikin', 'Split', 'Non Inverter AC', '2 ton', 24500, 'CHM48R')
('Daikin', 'Split', 'Non Inverter AC', '2 ton', 35000, 'CHM49R')
('Daikin', 'Split', 'Non Inverter AC', '2 ton', 44500, 'CHM50R')
('Daikin', 'Split', 'Non Inverter AC', '2 ton', 55500, 'CHM51R')
('Daikin', 'Split', 'Non Inverter AC', '2 ton', 64000, 'CHM52R')
('Daikin', 'Split', 'Non Inverter AC', '3 ton', 27500, 'CHM48S')
('Daikin', 'Split', 'Non Inverter AC', '3 ton', 37000, 'CHM49S')
('Daikin', 'Split', 'Non Inverter AC', '3 ton', 46500, 'CHM50S')
('Daikin', 'Split', 'Non Inverter AC', '3 ton', 57500, 'CHM51S')
('Daikin', 'Split', 'Non Inverter AC', '3 ton', 66500, 'CHM52S')
('Daikin', 'Centralised', 'Inverter AC', '1 ton', 23000, 'CIL48P')
('Daikin', 'Centralised', 'Inverter AC', '1 ton', 32500, 'CIL49P')
('Daikin', 'Centralised', 'Inverter AC', '1 ton', 43000, 'CIL50P')
('Daikin', 'Centralised', 'Inverter AC', '1 ton', 52500, 'CIL51P')
('Daikin', 'Centralised', 'Inverter AC', '1 ton', 63000, 'CIL52P')
('Daikin', 'Centralised', 'Inverter AC', '1.5 ton', 24500, 'CIL48Q')
('Daikin', 'Centralised', 'Inverter AC', '1.5 ton', 34000, 'CIL49Q')
('Daikin', 'Centralised', 'Inverter AC', '1.5 ton', 45000, 'CIL50Q')
('Daikin', 'Centralised', 'Inverter AC', '1.5 ton', 55000, 'CIL51Q')
('Daikin', 'Centralised', 'Inverter AC', '1.5 ton', 64500, 'CIL52Q')
('Daikin', 'Centralised', 'Inverter AC', '2 ton', 25000, 'CIL48R')
('Daikin', 'Centralised', 'Inverter AC', '2 ton', 34000, 'CIL49R')
